participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.q1,player.q2,player.q3,player.q4,player.decision,player.payoff,group.id_in_subsession,group.offer,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,j2dyrz52,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.037093+00:00,1,,,16.00,1,7,9,1,6,not perform the Task,8.00,1,2.00,1,m8y0h938,,,,,,0
2,hyjj90tt,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.134402+00:00,1,,,18.00,2,7,9,1,6,perform the Task,9.00,4,2.00,1,m8y0h938,,,,,,0
3,aouids0c,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.158889+00:00,1,,,16.00,1,7,9,1,6,not perform the Task,8.00,2,2.00,1,m8y0h938,,,,,,0
4,oi2xe8rb,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.181123+00:00,1,,,18.00,2,7,9,1,6,perform the Task,9.00,2,2.00,1,m8y0h938,,,,,,0
5,u0dke8oy,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.203851+00:00,1,,,16.00,1,7,9,1,6,not perform the Task,8.00,4,2.00,1,m8y0h938,,,,,,0
6,imocs9bd,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.228435+00:00,1,,,18.00,2,7,9,1,6,perform the Task,9.00,1,2.00,1,m8y0h938,,,,,,0
7,rvzqudxt,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.251194+00:00,1,,,16.00,1,7,9,1,6,not perform the Task,8.00,3,2.00,1,m8y0h938,,,,,,0
8,t9gvkj0f,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.274583+00:00,1,,,18.00,2,7,9,1,6,perform the Task,9.00,3,2.00,1,m8y0h938,,,,,,0
1,j2dyrz52,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.037093+00:00,1,,,16.00,1,,,,,not perform the Task,8.00,2,2.00,2,m8y0h938,,,,,,0
2,hyjj90tt,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.134402+00:00,1,,,18.00,2,,,,,perform the Task,9.00,3,2.00,2,m8y0h938,,,,,,0
3,aouids0c,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.158889+00:00,1,,,16.00,1,,,,,not perform the Task,8.00,3,2.00,2,m8y0h938,,,,,,0
4,oi2xe8rb,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.181123+00:00,1,,,18.00,2,,,,,perform the Task,9.00,2,2.00,2,m8y0h938,,,,,,0
5,u0dke8oy,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.203851+00:00,1,,,16.00,1,,,,,not perform the Task,8.00,1,2.00,2,m8y0h938,,,,,,0
6,imocs9bd,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.228435+00:00,1,,,18.00,2,,,,,perform the Task,9.00,4,2.00,2,m8y0h938,,,,,,0
7,rvzqudxt,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.251194+00:00,1,,,16.00,1,,,,,not perform the Task,8.00,4,2.00,2,m8y0h938,,,,,,0
8,t9gvkj0f,,1,27,26,authority_game,2,Finale_Page,127.0.0.1,2017-11-21 14:44:22.274583+00:00,1,,,18.00,2,,,,,perform the Task,9.00,1,2.00,2,m8y0h938,,,,,,0
